,Timestamp,mode,Data,AX,AY,AZ,fAX,fAY,fAZ
0,18:17:58:418,RX,1799643,32000000,-288000000,-224000000,2453399,-0.454532,2579186
1,18:17:58:509,RX,1799734,-96000000,-32000000,-32000000,2290591,-0.49844,2506613
2,18:17:58:599,RX,1799824,64000000,-64000000,64000000,2392669,-0.58676,2635491
3,18:17:58:688,RX,1799914,-32000000,-32000000,-64000000,2335802,-0.630445,2495957
4,18:17:58:777,RX,1800004,-32000000,-32000000,64000000,2279083,-0.674036,2624648
5,18:17:58:871,RX,1800094,32000000,-32000000,-160000000,2328131,-0.717533,2284667
6,18:17:58:958,RX,1800184,-32000000,-64000000,0,2271540,-0.805336,2279885
7,18:17:59:051,RX,1800274,64000000,32000000,32000000,2373204,-0.759825,2341962
8,18:17:59:182,RX,1800364,-64000000,160000000,96000000,2263936,-0.536965,2537296
9,18:17:59:321,RX,1800499,64000000,320000000,64000000,2365537,-0.091797,2665455
10,18:17:59:409,RX,1800634,0,-192000000,128000000,2361646,-0.359657,2926573
11,18:17:59:498,RX,1800724,96000000,128000000,32000000,2515441,-0.18006,2987169
12,18:17:59:588,RX,1800814,0,64000000,-96000000,2511309,-0.090157,2781166
13,18:17:59:678,RX,1800904,32000000,32000000,-96000000,2559676,-0.04521,2575613
14,18:17:59:769,RX,1800994,-96000000,96000000,96000000,2398188,0.089211,2769997
15,18:17:59:862,RX,1801084,0,160000000,-160000000,2394258,0.313133,2431401
16,18:17:59:947,RX,1801174,-64000000,32000000,0,2285609,0.357583,2426337
17,18:18:00:041,RX,1801264,-64000000,-224000000,32000000,2177172,0.043097,2487803
18,18:18:00:128,RX,1801354,0,-32000000,96000000,2173611,-0.001957,2681871
19,18:18:00:218,RX,1801444,-64000000,32000000,160000000,2065563,0.043004,3008290
20,18:18:00:308,RX,1801534,96000000,-64000000,-128000000,2218892,-0.046904,2736173
21,18:18:00:398,RX,1801624,32000000,0,-64000000,2267515,-0.046839,2597481
