Timestamp;Mode;Column1;Data;AX;AY;AZ;fAX;fAY;fAZ
18:12:21:234;RX;1462415; [app] INFO: ACCEL: ;-704;-480;576;26766279;168241196;8758143
18:12:21:325;RX;1462551; [app] INFO: ACCEL: ;-2016;1984;96;-3032218;195304382;10175572
18:12:21:416;RX;1462641; [app] INFO: ACCEL: ;-1024;-544;1824;-18302029;184058868;39223648
18:12:21:507;RX;1462731; [app] INFO: ACCEL: ;-960;-288;1600;-32457813;176883011;64703102
18:12:21:603;RX;1462821; [app] INFO: ACCEL: ;-1216;448;1792;-50310703;180980347;93299789
18:12:21:685;RX;1462911; [app] INFO: ACCEL: ;256;256;192;-45652779;182103195;9496183
18:12:21:779;RX;1463001; [app] INFO: ACCEL: ;-224;-544;-1856;-48340317;171379807;62590416
18:12:21:865;RX;1463091; [app] INFO: ACCEL: ;480;768;-1088;-40469315;180186935;4309045
18:12:22:137;RX;1463181; [app] INFO: ACCEL: ;352;-512;896;-34648319;169999329;57626003
18:12:22:228;RX;1463451; [app] INFO: ACCEL: ;1024;-256;-384;-19056559;16373613;50101707
18:12:22:362;RX;1463541; [app] INFO: ACCEL: ;-768;-288;-32;-30153637;157135818;48714375
18:12:22:541;RX;1463676; [app] INFO: ACCEL: ;-224;-832;-1056;-33025684;142764877;30327734
18:12:22:721;RX;1463856; [app] INFO: ACCEL: ;32;0;928;-32072697;140680527;45343079
18:12:22:813;RX;1464036; [app] INFO: ACCEL: ;-1248;-800;-224;-49657913;127106224;40833679
18:12:22:900;RX;1464126; [app] INFO: ACCEL: ;-672;-608;-800;-58742767;116455437;26914721
18:12:23:037;RX;1464216; [app] INFO: ACCEL: ;1568;608;-1408;-35050419;123577316;3161851
18:12:23:125;RX;1464351; [app] INFO: ACCEL: ;0;384;-320;-34531136;127332672;-2248992
18:12:23:265;RX;1464441; [app] INFO: ACCEL: ;1216;864;192;-16261961;137858337;970178
18:12:23:349;RX;1464576; [app] INFO: ACCEL: ;448;288;384;-9412431;140004089;7238278
18:12:23:529;RX;1464666; [app] INFO: ACCEL: ;-704;-128;608;-19603493;13621669;16984062
18:12:23:666;RX;1464846; [app] INFO: ACCEL: ;64;-160;-192;-18378042;132067108;13608526
18:12:23:804;RX;1464987; [app] INFO: ACCEL: ;-192;1024;-1632;-20890341;144461197;-12656625
18:12:23:936;RX;1465116; [app] INFO: ACCEL: ;1600;416;-2592;2308425;148248184;-54490147
18:12:24:162;RX;1465341; [app] INFO: ACCEL: ;-928;1504;1312;15509564;155853912;-53153221
18:12:24:253;RX;1465476; [app] INFO: ACCEL: ;192;0;-704;18147009;153665833;-6427877
18:12:24:436;RX;1465566; [app] INFO: ACCEL: ;992;192;-896;32535694;154198196;-78436096
18:12:24:566;RX;1465746; [app] INFO: ACCEL: ;896;512;-608;45348866;159102814;-87444244
18:12:24:703;RX;1465881; [app] INFO: ACCEL: ;-256;672;-416;40867496;166087311;-9299688
18:12:25:628;RX;1466016; [app] INFO: ACCEL: ;448;704;-2944;46868687;173387177;-140684616
18:12:25:896;RX;1466916; [app] INFO: ACCEL: ;1120;-352;-672;62582096;166278091;-149915283
18:12:25:961;RX;1467186; [app] INFO: ACCEL: ;-224;736;800;58358898;173962997;-133524597
18:12:26:348;RX;1467276; [app] INFO: ACCEL: ;-384;1344;-1344;51898491;18971048;-154440277
18:12:26:704;RX;1467636; [app] INFO: ACCEL: ;96;736;32;52538834;197132782;-151198181
18:12:26:817;RX;1467996; [app] INFO: ACCEL: ;96;1568;1152;53161388;215706818;-128841965
18:12:27:065;RX;1468131; [app] INFO: ACCEL: ;-288;1216;1088;48339352;229440308;-107793602
18:12:27:131;RX;1468356; [app] INFO: ACCEL: ;128;-1056;-1504;49457066;211687439;-132101593
18:12:27:315;RX;1468446; [app] INFO: ACCEL: ;480;32;192;55423763;209177582;-126403389
18:12:27:510;RX;1468626; [app] INFO: ACCEL: ;-608;608;512;46278339;21469104;-115302948
18:12:27:580;RX;1468806; [app] INFO: ACCEL: ;-224;-384;-1344;42555073;206463165;-136565659
18:12:27:672;RX;1468896; [app] INFO: ACCEL: ;-448;-160;-32;3585363;201436432;-134743973
18:12:27:805;RX;1468986; [app] INFO: ACCEL: ;-576;1056;1088;27527983;213083359;-113763718
18:12:27:988;RX;1469121; [app] INFO: ACCEL: ;-1600;-2752;-608;5415364;172543243;-1223013
18:12:28:075;RX;1469301; [app] INFO: ACCEL: ;32;-256;160;5783157;166425125;-117460983
18:12:28:165;RX;1469391; [app] INFO: ACCEL: ;192;1440;288;8325605;184502899;-110588226
18:12:28:345;RX;1469481; [app] INFO: ACCEL: ;1056;352;-1952;22488853;186906021;-141525482
18:12:28:525;RX;1469661; [app] INFO: ACCEL: ;992;1216;-2016;35687885;201509903;-173618988
18:12:28:661;RX;1469841; [app] INFO: ACCEL: ;768;384;256;45711868;204115189;-166120773
18:12:28:753;RX;1469981; [app] INFO: ACCEL: ;512;-1568;1536;52099251;179082245;-136676407
18:12:28:840;RX;1470066; [app] INFO: ACCEL: ;288;480;-1440;5531636;183420227;-159579941
18:12:28:933;RX;1470156; [app] INFO: ACCEL: ;1216;-1472;-384;71004959;159755554;-16355484
18:12:29:021;RX;1470246; [app] INFO: ACCEL: ;704;-2144;960;79640144;126227554;-143914673
18:12:29:201;RX;1470336; [app] INFO: ACCEL: ;1376;1792;-1504;97304672;151207291;-167796875
18:12:29:495;RX;1470516; [app] INFO: ACCEL: ;-2912;3104;736;5581596;196264053;-151783936
18:12:29:564;RX;1470786; [app] INFO: ACCEL: ;-2080;352;3008;25047361;198740753;-95798622
18:12:29:811;RX;1470876; [app] INFO: ACCEL: ;-352;1024;-320;19467405;211699158;-99943993
18:12:29:876;RX;1471101; [app] INFO: ACCEL: ;1216;-416;-896;3704641;201837616;-114459076
18:12:30:015;RX;1471191; [app] INFO: ACCEL: ;-3072;480;2208;-903046;206193298;-72220161
18:12:30:147;RX;1471371; [app] INFO: ACCEL: ;-1376;-1984;3488;-30215523;172241409;-5727772
18:12:30:237;RX;1471461; [app] INFO: ACCEL: ;1920;2272;-2528;348278;205676208;-55199436
18:12:30:373;RX;1471551; [app] INFO: ACCEL: ;-2528;-512;-32;-40161907;193962967;-54731098
18:12:30:460;RX;1471686; [app] INFO: ACCEL: ;-256;1920;32;-43734879;222072708;-53014088
18:12:30:550;RX;1471776; [app] INFO: ACCEL: ;-1344;3840;96;-64998795;282017273;-50116409
18:12:30:779;RX;1471956; [app] INFO: ACCEL: ;-4160;-2144;1280;-84701813;227272186;-3534502
18:12:30:910;RX;1472091; [app] INFO: ACCEL: ;576;-992;576;-72596161;205426208;-23660191
18:12:31:003;RX;1472226; [app] INFO: ACCEL: ;-1408;-1504;1344;-96935448;174616638;229774
18:12:31:095;RX;1472316; [app] INFO: ACCEL: ;2464;512;-3648;-49893093;180790237;-67517967
18:12:31:227;RX;1472406; [app] INFO: ACCEL: ;-4416;-1920;2496;-132605652;142789673;-15966521
18:12:31:315;RX;1472541; [app] INFO: ACCEL: ;448;-480;-352;-120887428;131268051;-22923422
18:12:31:566;RX;1472631; [app] INFO: ACCEL: ;576;832;-64;-106943687;144151749;-23762066
18:12:31:789;RX;1472901; [app] INFO: ACCEL: ;-160;864;-3168;-107998665;157326782;-86722984
18:12:31:857;RX;1473081; [app] INFO: ACCEL: ;960;-928;3904;-87154861;137543884;-3556726
18:12:31:992;RX;1473171; [app] INFO: ACCEL: ;1120;928;-1984;-63562241;151995605;-47142269
18:12:32:091;RX;1473306; [app] INFO: ACCEL: ;-2336;-1856;1280;-108154449;115383453;-17456869
18:12:32:326;RX;1473396; [app] INFO: ACCEL: ;192;-1568;-384;-10212059;84051598;-25684376
18:12:32:397;RX;1473621; [app] INFO: ACCEL: ;-1664;1184;2112;-133080658;104814133;21581589
18:12:32:578;RX;1473711; [app] INFO: ACCEL: ;-2208;-768;-544;-174645508;88295204;8835336
18:12:32:847;RX;1473891; [app] INFO: ACCEL: ;-1728;-1248;1408;-206391327;63049068;40013748
18:12:33:208;RX;1474161; [app] INFO: ACCEL: ;-1056;1568;-896;-223924698;91685951;19052496
