,Timestamp,AX,AY,AZ,fAX,fAY,fAZ
0,18:16:32:074,768,-608,352,6.215045,4.296308,-7.954152
1,18:16:32:294,704,-256,320,14.198598,2.22199,-5.066761
3,18:16:32:514,-512,-704,384,8.1642,-3.390279,-1.64914
4,18:16:32:606,768,192,256,16.868759,-1.828191,0.611687
5,18:16:32:878,-320,-672,-448,12.996037,-7.164129,-3.310493
6,18:16:33:057,768,-416,-736,21.634241,-10.436525,-9.717303
7,18:16:33:146,-672,224,-320,13.670837,-8.559854,-12.446036
8,18:16:33:234,-352,-256,800,9.463416,-10.534029,-5.319825
9,18:16:33:325,1312,192,-768,24.387087,-8.923052,-12.058162
10,18:16:33:462,480,768,-928,29.680975,-2.767453,-20.200974
11,18:16:33:549,256,-32,-320,32.303844,-3.000785,-22.89069
12,18:16:33:642,416,-384,320,36.719322,-6.019565,-19.823603
13,18:16:33:733,160,96,-448,38.132504,-5.211522,-23.645399
14,18:16:33:820,160,704,-896,39.517021,0.372903,-31.428434
15,18:16:33:912,224,-416,288,41.594353,-2.925833,-28.554897
16,18:16:34:000,864,256,-320,50.785179,-0.87379,-31.169777
17,18:16:34:092,448,416,-32,55.246605,2.420887,-31.177202
18,18:16:34:180,288,-384,-704,57.852108,-0.634228,-37.141483
19,18:16:34:272,-448,256,1056,52.226376,1.394289,-27.408304
20,18:16:34:360,0,-224,-288,51.646191,-0.382327,-29.757925
21,18:16:34:449,-672,-160,544,43.687302,-1.636219,-24.604391
22,18:16:34:542,-640,672,640,36.143238,3.630977,-18.620729
23,18:16:34:677,32,-480,-448,36.097408,-0.171375,-22.50255
24,18:16:34:769,-256,-224,576,32.901451,-1.934164,-17.094608
25,18:16:34:854,640,-640,672,39.51004,-6.942207,-10.850659
26,18:16:34:947,672,1632,-384,46.402687,5.982918,-14.247198
28,18:16:35:125,256,-1216,-2944,35.439465,-5.435409,-40.799149
29,18:16:35:214,512,-96,1344,40.675537,-6.175747,-27.718292
30,18:16:35:353,128,1920,1248,41.633511,9.470532,-15.453135
