Timestamp,AX,AY,AZ,fAX,fAY,fAZ,Amag,UL
18:10:09:027,352,-1120,-1088,-44.076183,55.046425,-97.609222,120.4175196,579.6
18:10:09:118,928,32,768,-35.793819,54.783489,-92.298302,113.1432928,579.6
18:10:09:204,-8512,14016,5888,-108.783569,212.341125,-55.202663,244.8876319,579.6
18:10:09:295,2624,15424,-4928,-81.536301,428.819519,-88.810295,445.4454139,579.6
18:10:09:384,96,512,960,-79.68885,430.335266,-80.931335,445.0714942,579.6
18:10:09:478,-10368,-2752,-2720,-186.019135,373.290131,-101.018555,429.1309695,579.6
18:10:09:567,512,6560,6944,-177.427719,489.041809,-45.014019,522.176932,579.6
18:10:09:659,-1728,-8448,-3328,-196.540497,305.01181,-74.521805,370.4239067,579.6
18:10:09:748,-3968,-5472,6944,-243.868744,168.11261,-7.934431,296.3051959,579.6
18:10:09:883,-7200,-2976,5920,-336.495972,87.137894,55.514175,352.0005332,579.6
18:10:10:014,-2784,320,-4352,-373.066101,93.342392,3.370388,384.5809114,579.6
18:10:10:109,1792,288,-192,-339.656189,98.417259,0.887248,353.6284361,579.6
18:10:10:239,288,2080,-928,-329.711304,148.95697,-10.815634,361.9595293,579.6
18:10:10:335,-128,768,-448,-326.526276,164.94722,-16.354881,366.1891266,579.6
18:10:10:422,864,-352,-448,-307.946533,151.773346,-21.802143,344.0080656,579.6
18:10:10:512,96,384,-32,-301.593811,157.602509,-21.930317,340.9960652,579.6
18:10:10:600,192,224,192,-293.890656,159.235718,-19.274324,334.8122327,579.6
18:10:10:692,224,160,192,-285.855164,159.254089,-16.672525,327.6476961,579.6
18:10:10:784,256,224,256,-277.491882,160.773941,-13.341623,320.9797557,579.6
18:10:10:874,160,32,-32,-270.771057,157.816681,-13.568012,313.6991569,579.6
18:10:11:006,-96,192,192,-268.104034,158.585999,-11.102776,311.6930602,579.6
18:10:11:097,416,32,-96,-257.786072,155.797928,-12.112912,301.4521122,579.6
18:10:11:232,544,-32,-256,-245.712311,151.740768,-14.985456,289.1787757,579.6
18:10:11:324,-128,320,288,-243.938446,155.312027,-11.441381,289.4109472,579.6
18:10:11:411,0,480,128,-240.308594,162.082443,-9.819513,290.0264842,579.6
18:10:11:591,384,-384,96,-226.30217,154.86734,-9.229645,274.375202,579.6
18:10:11:683,224,-352,96,-219.736694,144.714798,-8.040026,263.2322728,579.6
18:10:11:776,-224,-96,64,-219.798508,139.940994,-7.233043,260.6668042,579.6
18:10:11:862,-160,-32,-160,-218.943863,136.581635,-8.927773,258.2066291,579.6
18:10:11:953,-64,-64,0,-216.758011,132.724823,-8.829522,254.3184508,579.6
18:10:12:043,0,-64,160,-213.733444,128.998932,-6.991453,249.7430479,579.6
18:10:12:134,96,-96,288,-209.452774,124.800598,-3.80382,243.8444645,579.6
18:10:12:221,0,224,160,-206.580048,126.625717,-2.042483,242.3088116,579.6
18:10:12:358,-96,-32,96,-205.077744,123.754387,-0.996094,239.5266615,579.6
18:10:12:489,-32,672,0,-202.752823,133.532257,-0.985555,242.7767333,579.6
18:10:12:584,-128,128,192,-201.758606,133.43428,1.035008,241.893186,579.6
18:10:12:670,-128,96,-224,-200.789062,132.782745,-1.305607,240.7264202,579.6
18:10:12:851,-96,-704,32,-199.427521,118.457382,-0.96123,231.9577794,579.6
18:10:12:943,-224,64,32,-199.743347,117.525711,-0.62368,231.7543665,579.6
18:10:13:031,-96,256,224,-198.426208,119.857414,1.654819,231.8221261,579.6
18:10:13:214,-32,736,96,-196.335449,130.088333,2.606424,235.5363589,579.6
18:10:13:349,-192,-64,64,-196.281479,126.879753,3.220628,233.7418729,579.6
18:10:13:480,-96,-1088,96,-195.048462,107.047112,4.140749,222.5311945,579.6
18:10:13:573,352,-32,512,-188.390717,104.760284,9.137048,215.7527868,579.6
18:10:13:661,96,64,96,-184.93425,104.098969,9.991788,212.4549552,579.6
18:10:13:755,352,320,-544,-178.450516,107.548714,4.584289,208.4042424,579.6
18:10:13:843,-416,96,0,-181.31488,107.366318,4.539488,210.7681639,579.6
18:10:13:933,-448,-416,1056,-184.507156,99.226997,14.716548,210.0130099,579.6
18:10:14:111,-832,-1280,-1408,-192.206482,77.888252,0.794119,207.3898314,579.6
18:10:14:249,-448,-544,-1696,-195.250839,68.156013,-16.112698,207.431317,579.6
18:10:14:337,448,96,416,-187.646912,68.590294,-11.706418,200.1325367,579.6
18:10:14:429,-576,-320,-640,-192.241714,62.619251,-18.102747,202.9920113,579.6
18:10:14:564,-352,-224,-512,-194.12413,58.248539,-23.142092,203.9917316,579.6
18:10:14:651,192,-128,-800,-189.613251,55.435265,-31.065207,199.9782504,579.6
18:10:14:744,416,512,-32,-182.566513,62.25396,-31.074789,195.3758678,579.6
18:10:14:834,0,-64,224,-180.441513,60.379417,-28.48645,192.3961835,579.6
18:10:14:920,192,416,384,-176.140869,65.595154,-24.321917,189.5254221,579.6
18:10:15:101,-672,-448,-704,-181.842957,58.119324,-31.170956,193.4330513,579.6
18:10:15:193,-96,-32,-1088,-180.857468,56.81329,-41.856129,194.1368311,579.6
18:10:15:325,-32,-576,-800,-179.1651,47.757328,-49.603447,191.94113,579.6
18:10:15:418,-160,416,160,-178.94902,53.017582,-47.451401,192.5753131,579.6
18:10:15:515,224,512,-992,-174.454971,59.528622,-57.090576,192.9702765,579.6
18:10:15:696,-128,160,0,-173.938492,60.946674,-56.503067,192.7736825,579.6
18:10:15:778,-480,-1184,512,-177.3069,43.585735,-50.705738,189.4954484,579.6
18:10:15:867,320,-224,288,-171.860519,39.815197,-47.248165,182.6298908,579.6
18:10:15:955,448,-672,-64,-165.079453,29.872219,-47.418579,174.3332926,579.6
18:10:16:136,672,32,-512,-148.905075,16.268379,-48.105419,157.3261353,579.6
18:10:16:227,224,-1760,384,-144.790955,-8.34306,-43.765182,151.4906547,579.6
18:10:16:319,-512,96,512,-148.827591,-6.86713,-38.19109,153.8030191,579.6
18:10:16:407,160,-736,1216,-145.445251,-17.057774,-25.599945,148.6628598,579.6
18:10:16:496,320,768,736,-140.372025,-6.081149,-17.842096,141.6320097,579.6
18:10:16:586,-64,0,0,-139.540985,-5.995997,-17.659473,140.7817299,579.6
18:10:16:678,-96,288,992,-139.071594,-1.935648,-7.426137,139.2831738,579.6
18:10:16:812,-512,480,416,-143.052536,4.667717,-3.092677,143.162077,579.6
18:10:16:908,224,544,640,-139.147095,12.026939,3.476843,139.7091613,579.6
18:10:16:992,192,-160,512,-135.635452,9.68658,8.684598,136.2579462,579.6
18:10:17:083,-608,-32,864,-140.624542,9.125163,17.442318,141.9956509,579.6
18:10:17:169,-224,64,-896,-141.504089,9.854973,8.027482,142.0738124,579.6
18:10:17:263,-224,-128,-1056,-142.366699,8.04367,-3.023798,142.6258075,579.6
18:10:17:350,608,256,224,-134.589111,11.268114,-0.640964,135.0615046,579.6
18:10:17:441,32,-416,-704,-132.854736,5.756361,-7.979541,133.2185784,579.6
18:10:17:579,608,416,704,-125.195953,11.025173,-0.52539,125.6815703,579.6
18:10:17:670,-160,224,-992,-125.557289,13.747627,-10.942936,126.7808263,579.6
18:10:17:756,672,32,160,-117.356468,13.978971,-9.130621,118.5382658,579.6
18:10:17:893,608,-96,96,-109.857414,12.601969,-8.024001,110.8685962,579.6
18:10:17:979,96,-128,160,-107.720703,10.85954,-6.270139,108.4481171,579.6
18:10:18:072,-224,224,96,-108.920097,13.475825,-5.21014,109.8741596,579.6
18:10:18:160,-416,480,96,-112.062439,19.156759,-4.169787,113.7644882,579.6
18:10:18:253,352,-352,256,-107.333221,14.650345,-1.517373,108.3390759,579.6
18:10:18:341,224,-864,-288,-103.959991,4.032856,-4.423461,104.1321788,579.6
18:10:18:433,-192,832,512,-104.853096,14.09005,0.791959,105.7985276,579.6
18:10:18:568,-960,1056,672,-113.455795,26.798622,7.571406,116.8234127,579.6
