,Timestamp,AX,AY,AZ,fAX,fAY,fAZ,Amag,UL,SMA50AX,SMA50AY,SMA50AZ,AMAG,std,2std,3std
0,18:10:09:027000,352,-1120,-1088,-44.076183,55.046425,-97.609222,120.4175196,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
1,18:10:09:118000,928,32,768,-35.793819,54.783489,-92.298302,113.1432928,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
2,18:10:09:204000,-8512,14016,5888,-108.783569,212.341125,-55.202663,244.8876319,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
3,18:10:09:295000,2624,15424,-4928,-81.536301,428.819519,-88.810295,445.4454139,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
4,18:10:09:384000,96,512,960,-79.68885,430.335266,-80.931335,445.0714942,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
5,18:10:09:478000,-10368,-2752,-2720,-186.019135,373.290131,-101.018555,429.1309695,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
6,18:10:09:567000,512,6560,6944,-177.427719,489.041809,-45.014019,522.176932,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
7,18:10:09:659000,-1728,-8448,-3328,-196.540497,305.01181,-74.521805,370.4239067,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
8,18:10:09:748000,-3968,-5472,6944,-243.868744,168.11261,-7.934431,296.3051959,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
9,18:10:09:883000,-7200,-2976,5920,-336.495972,87.137894,55.514175,352.0005332,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
10,18:10:10:014000,-2784,320,-4352,-373.066101,93.342392,3.370388,384.5809114,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
11,18:10:10:109000,1792,288,-192,-339.656189,98.417259,0.887248,353.6284361,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
12,18:10:10:239000,288,2080,-928,-329.711304,148.95697,-10.815634,361.9595293,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
13,18:10:10:335000,-128,768,-448,-326.526276,164.94722,-16.354881,366.1891266,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
